mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
5.660640525817871,1.2808089158108442,0.1306251049041748,0.02745023564644355,33,12,"{'max_depth': 33, 'min_samples_leaf': 12}",-0.17846785709195445,-0.17978848999286953,-0.17862705707759635,-0.17842693636853113,-0.1801616544932249,-0.17909439900483531,0.0007317467039327202,4
4.856027412414551,0.7254545096253349,0.12020306587219239,0.02147038321886371,33,17,"{'max_depth': 33, 'min_samples_leaf': 17}",-0.17678895574225362,-0.1791208774356042,-0.18217733504369552,-0.17873529718675563,-0.17974734763238134,-0.17931396260813806,0.0017397999603671855,20
4.351031064987183,0.4911415796668289,0.11180095672607422,0.01467649829017645,33,22,"{'max_depth': 33, 'min_samples_leaf': 22}",-0.17687852413729516,-0.18162333109017378,-0.18024290552451022,-0.1788002613927116,-0.1798473198289249,-0.1794784683947231,0.0015836998685076565,29
4.055718564987183,0.8812484490062065,0.10631632804870605,0.01587120521421903,33,27,"{'max_depth': 33, 'min_samples_leaf': 27}",-0.17714311289953075,-0.18087889225568024,-0.18166797811345872,-0.17862885963913183,-0.18086751931953696,-0.1798372724454677,0.0016862159329605966,39
4.479436779022217,0.6305710546829826,0.09139423370361328,0.009178066486533878,38,2,"{'max_depth': 38, 'min_samples_leaf': 2}",-0.17852142067013183,-0.18061104464351097,-0.18063713011165686,-0.1799898522698995,-0.18075417429720875,-0.18010272439848157,0.0008344612042553246,47
5.269668531417847,0.5389831291023834,0.11341962814331055,0.0036147540127010667,38,7,"{'max_depth': 38, 'min_samples_leaf': 7}",-0.17741970813670588,-0.18049371739483386,-0.17929412109780807,-0.17880109748959996,-0.17969388026634633,-0.17914050487705882,0.0010234593474369564,10
5.7816366195678714,1.3010772962099464,0.128403377532959,0.033870346695000886,38,12,"{'max_depth': 38, 'min_samples_leaf': 12}",-0.17846785709195445,-0.17978848999286953,-0.17862705707759635,-0.17842693636853113,-0.1801616544932249,-0.17909439900483531,0.0007317467039327202,4
4.942620134353637,0.7910274384357008,0.113407564163208,0.01568782599414589,38,17,"{'max_depth': 38, 'min_samples_leaf': 17}",-0.17678895574225362,-0.1791208774356042,-0.18217733504369552,-0.17873529718675563,-0.17974734763238134,-0.17931396260813806,0.0017397999603671855,20
4.446383857727051,0.493537188356841,0.10660500526428222,0.015784169216477614,38,22,"{'max_depth': 38, 'min_samples_leaf': 22}",-0.17687852413729516,-0.18162333109017378,-0.18024290552451022,-0.1788002613927116,-0.1798473198289249,-0.1794784683947231,0.0015836998685076565,29
4.057737159729004,0.7554378221524649,0.11220254898071289,0.022507975390708878,38,27,"{'max_depth': 38, 'min_samples_leaf': 27}",-0.17714311289953075,-0.18087889225568024,-0.18166797811345872,-0.17862885963913183,-0.18086751931953696,-0.1798372724454677,0.0016862159329605966,39
4.4674149513244625,0.6749727582165388,0.09920315742492676,0.006366321724996853,43,2,"{'max_depth': 43, 'min_samples_leaf': 2}",-0.17852142067013183,-0.18061104464351097,-0.18063713011165686,-0.1799898522698995,-0.18075417429720875,-0.18010272439848157,0.0008344612042553246,47
4.80223069190979,0.48440762403936904,0.10780172348022461,0.018141961206362956,43,7,"{'max_depth': 43, 'min_samples_leaf': 7}",-0.17741970813670588,-0.18049371739483386,-0.17929412109780807,-0.17880109748959996,-0.17969388026634633,-0.17914050487705882,0.0010234593474369564,10
5.454232025146484,1.2826332983240587,0.12020764350891114,0.03112563312843988,43,12,"{'max_depth': 43, 'min_samples_leaf': 12}",-0.17846785709195445,-0.17978848999286953,-0.17862705707759635,-0.17842693636853113,-0.1801616544932249,-0.17909439900483531,0.0007317467039327202,4
4.867792701721191,0.6570830391788347,0.10940451622009277,0.012230921494609458,43,17,"{'max_depth': 43, 'min_samples_leaf': 17}",-0.17678895574225362,-0.1791208774356042,-0.18217733504369552,-0.17873529718675563,-0.17974734763238134,-0.17931396260813806,0.0017397999603671855,20
4.416036176681518,0.5288948342091946,0.1027989387512207,0.011090693969159182,43,22,"{'max_depth': 43, 'min_samples_leaf': 22}",-0.17687852413729516,-0.18162333109017378,-0.18024290552451022,-0.1788002613927116,-0.1798473198289249,-0.1794784683947231,0.0015836998685076565,29
3.914225387573242,0.8090283473767922,0.10960283279418945,0.02259712656334272,43,27,"{'max_depth': 43, 'min_samples_leaf': 27}",-0.17714311289953075,-0.18087889225568024,-0.18166797811345872,-0.17862885963913183,-0.18086751931953696,-0.1798372724454677,0.0016862159329605966,39
4.455229473114014,0.5786076826088588,0.09939718246459961,0.010884503000813636,48,2,"{'max_depth': 48, 'min_samples_leaf': 2}",-0.17852142067013183,-0.18061104464351097,-0.18063713011165686,-0.1799898522698995,-0.18075417429720875,-0.18010272439848157,0.0008344612042553246,47
4.8684317111969,0.5135952526858227,0.10480008125305176,0.022252516012937578,48,7,"{'max_depth': 48, 'min_samples_leaf': 7}",-0.17741970813670588,-0.18049371739483386,-0.17929412109780807,-0.17880109748959996,-0.17969388026634633,-0.17914050487705882,0.0010234593474369564,10
5.342829608917237,1.139868706859546,0.12300958633422851,0.021170992417344624,48,12,"{'max_depth': 48, 'min_samples_leaf': 12}",-0.17846785709195445,-0.17978848999286953,-0.17862705707759635,-0.17842693636853113,-0.1801616544932249,-0.17909439900483531,0.0007317467039327202,4
4.605834293365478,0.6655561210249357,0.10463862419128418,0.025250449294508908,48,17,"{'max_depth': 48, 'min_samples_leaf': 17}",-0.17678895574225362,-0.1791208774356042,-0.18217733504369552,-0.17873529718675563,-0.17974734763238134,-0.17931396260813806,0.0017397999603671855,20
3.9526230335235595,0.31588202273602484,0.08961138725280762,0.011840115232888256,48,22,"{'max_depth': 48, 'min_samples_leaf': 22}",-0.17687852413729516,-0.18162333109017378,-0.18024290552451022,-0.1788002613927116,-0.1798473198289249,-0.1794784683947231,0.0015836998685076565,29
3.557617712020874,0.44863372663401324,0.08621644973754883,0.014505536859560403,48,27,"{'max_depth': 48, 'min_samples_leaf': 27}",-0.17714311289953075,-0.18087889225568024,-0.18166797811345872,-0.17862885963913183,-0.18086751931953696,-0.1798372724454677,0.0016862159329605966,39
